Kelompok Bank,,,,,,,,,,,,,
,Suku Bunga Kredit Rupiah Menurut Kelompok Bank,,,,,,,,,,,,
,2023,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Bank Persero - Modal Kerja,8.51,8.73,8.83,8.85,8.86,8.88,8.97,8.99,8.96,8.95,8.94,8.93,-
Bank Persero - Investasi,8.86,9.05,9.2,9.27,9.28,9.3,9.38,9.38,9.4,9.41,9.41,9.41,-
Bank Persero - Konsumsi,9.65,9.63,9.6,9.59,9.56,9.52,9.49,9.45,9.41,9.35,9.31,9.27,-
Bank Pemerintah Daerah - Modal Kerja,8.79,8.9,8.93,8.94,9.11,9.07,9.13,9.16,11.15,11.59,9.19,9.02,-
Bank Pemerintah Daerah - Investasi,9.2,9.15,9.09,9.14,9.14,9.11,9.14,9.12,9.1,9.13,9.1,9.06,-
Bank Pemerintah Daerah - Konsumsi,10.63,10.61,10.58,10.56,10.55,10.52,10.5,10.49,10.47,10.45,10.43,10.4,-
Bank Swasta Nasional - Modal Kerja,9.27,9.31,9.32,9.25,9.23,9.21,9.18,9.14,9.09,9.12,9.08,9.01,-
Bank Swasta Nasional - Investasi,8.35,8.39,8.42,8.43,8.44,8.37,8.33,8.3,8.27,8.24,8.23,8.23,-
Bank Swasta Nasional - Konsumsi,10.58,10.69,10.72,10.69,10.67,10.55,10.56,10.57,10.57,10.59,10.75,10.69,-
Bank Asing dan Bank Campuran - Modal Kerja,6.71,6.85,6.9,6.89,6.92,6.9,6.93,7.06,7.06,7.08,6.94,6.92,-
Bank Asing dan Bank Campuran - Investasi,8.08,8.2,8.19,8.26,8.26,8.25,8.12,8.13,8.17,8.32,8.41,8.51,-
Bank Asing dan Bank Campuran - Konsumsi,23.72,22.82,23.06,23.17,23.62,23.37,22.82,23.01,23.22,23.31,21.63,22.14,-
Bank Umum - Modal Kerja,8.75,8.89,8.95,8.92,8.93,8.93,8.95,8.96,9.02,9.05,8.91,8.86,-
Bank Umum - Investasi,8.62,8.72,8.8,8.84,8.85,8.82,8.84,8.83,8.82,8.82,8.82,8.81,-
Bank Umum - Konsumsi,10.38,10.39,10.39,10.37,10.35,10.29,10.27,10.25,10.23,10.21,10.17,10.13,-
